letter,frequency
Perl,1954

R,8127

Eagle,72

Assembly,409

QML,131

PLpgSQL,146

Python,149863

Perl 6,41

Julia,1

Processing,329

Smarty,260

Lua,2955

PowerShell,754

Dockerfile,4163

Erlang,80

Logos,53

Emacs Lisp,2115

Java,144784

ASP,205

Shell,41581

Elm,12

F#,14

C++,28889

Ruby,27194

HCL,2237

Rust,7881

GLSL,33

C#,21329

OCaml,60

Batchfile,316

Groovy,508

Makefile,1940

Crystal,808

ShaderLab,148

MATLAB,3990

CSS,50222

Visual Basic,23

Vim script,4840

PHP,82110

Nim,502

Solidity,122

Haskell,3880

Vue,6330

Swift,24298

Elixir,3608

Clojure,2385

Kotlin,16037

TypeScript,50698

Puppet,50

Objective-C,9169

JavaScript,361513

C,36778

CoffeeScript,575

TeX,2813

Nginx,10

ActionScript,1

Dart,1071

QMake,15

Objective-C++,34

Scala,5869

Jupyter Notebook,26752

HTML,91216

UnrealScript,5

XSLT,244

DIGITAL Command Language,5

PLSQL,169

Go,30588

